Polymer 	P0        	V0        	T0   	Tmin 	Tmax 	Pmin     	Pmax
HDPE    	5.376E+08 	9.818E-04 	6548 	 415 	 473 	0.00E+00 	2.00E+08
HDPE    	3.767E+08 	1.013E-03 	7002 	 413 	 476 	0.00E+00 	1.96E+08
HMLPE   	6.043E+08 	9.855E-04 	6458 	 410 	 473 	0.00E+00 	2.00E+08
BPE     	4.531E+08 	9.992E-04 	6710 	 398 	 471 	0.00E+00 	2.00E+08
LDPE    	5.292E+08 	9.794E-04 	6356 	 394 	 448 	0.00E+00 	1.96E+08
LDPE-A  	4.695E+08 	9.963E-04 	6774 	 385 	 498 	0.00E+00 	1.96E+08
LDPE-B  	4.564E+08 	1.003E-03 	6896 	 385 	 498 	0.00E+00 	1.96E+08
LDPE-C  	4.710E+08 	9.974E-04 	6809 	 385 	 498 	0.00E+00 	1.96E+08
PIB     	3.960E+08 	9.455E-04 	7396 	 326 	 383 	0.00E+00 	1.00E+08
i-PP    	3.974E+08 	1.007E-03 	7011 	 443 	 570 	0.00E+00 	1.96E+08
a-PP    	4.059E+08 	9.755E-04 	6351 	 353 	 393 	0.00E+00 	1.00E+08
i-PP    	4.039E+08 	9.897E-04 	6838 	 406 	 519 	0.00E+00 	1.96E+08
PMP     	3.950E+08 	1.020E-03 	7079 	 514 	 592 	0.00E+00 	1.96E+08
PMMA    	5.688E+08 	7.204E-04 	7717 	 387 	 432 	0.00E+00 	2.00E+08
PCHMA   	4.614E+08 	7.772E-04 	7700 	 321 	 471 	0.00E+00 	2.00E+08
PNBMA   	5.096E+08 	8.087E-04 	6794 	 307 	 473 	0.00E+00 	2.00E+08
PS      	4.052E+08 	8.277E-04 	8118 	 388 	 469 	0.00E+00 	2.00E+08
POMS    	4.415E+08 	8.457E-04 	8463 	 412 	 471 	0.00E+00 	1.80E+08
PVAC    	5.997E+08 	7.090E-04 	6449 	 337 	 393 	0.00E+00 	1.00E+08
PDMS    	3.269E+08 	8.264E-04 	5184 	 298 	 343 	0.00E+00 	1.00E+08
PTFE    	3.078E+08 	8.780E-04 	5070 	 298 	 343 	0.00E+00 	9.00E+08
PSF     	3.133E+08 	8.694E-04 	5288 	 298 	 343 	0.00E+00 	9.00E+08
PBD     	3.156E+08 	8.531E-04 	5395 	 298 	 343 	0.00E+00 	9.00E+08
PEO     	3.230E+08 	8.412E-04 	5470 	 298 	 343 	0.00E+00 	9.00E+08
PTHF    	3.115E+08 	8.403E-04 	5554 	 298 	 343 	0.00E+00 	9.00E+08
PET     	3.115E+08 	8.403E-04 	5554 	 298 	 343 	0.00E+00 	9.00E+08
PPO     	4.049E+08 	4.215E-04 	7088 	 603 	 645 	0.00E+00 	3.90E+08
PC      	7.382E+08 	6.847E-04 	8664 	 475 	 644 	0.00E+00 	1.96E+08
PAR     	4.544E+08 	9.173E-04 	5522 	 277 	 328 	0.00E+00 	2.83E+08
PH      	6.016E+08 	7.719E-04 	7147 	 361 	 497 	0.00E+00 	6.80E+07
PEEK    	4.598E+08 	8.774E-04 	7006 	 335 	 439 	0.00E+00 	7.80E+07
PVC     	8.510E+08 	6.452E-04 	8215 	 547 	 615 	0.00E+00 	1.96E+08
PA6     	6.509E+08 	7.472E-04 	7360 	 476 	 593 	0.00E+00 	1.76E+08
PA66    	6.710E+08 	7.070E-04 	8039 	 424 	 613 	0.00E+00 	1.76E+08
PVME    	6.512E+08 	6.991E-04 	8470 	 450 	 583 	0.00E+00 	1.76E+08
PMA     	7.132E+08 	7.389E-04 	7869 	 341 	 573 	0.00E+00 	1.76E+08
PEA     	8.329E+08 	6.642E-04 	8667 	 619 	 671 	0.00E+00 	2.00E+08
PEMA    	5.018E+08 	6.201E-04 	7752 	 373 	 423 	0.00E+00 	2.00E+08
TMPC    	4.110E+08 	6.896E-04 	9182 	 509 	 569 	0.00E+00 	1.96E+08
HFPC    	5.583E+08 	6.885E-04 	7865 	 519 	 571 	0.00E+00 	1.96E+08
BCPC    	5.128E+08 	8.266E-04 	6607 	 303 	 471 	0.00E+00 	2.00E+08
PECH    	5.992E+08 	7.277E-04 	6894 	 310 	 493 	0.00E+00 	1.96E+08
PCL     	5.115E+08 	7.563E-04 	6599 	 310 	 490 	0.00E+00 	1.96E+08
        	          	          	     	     	     	         	
        	          	          	     	     	     	         	
        	          	          	     	     	     	         	
        	          	          	     	     	     	         	
        	          	          	     	     	     	         	
        	          	          	     	     	     	         	
